test_year,metric,value,w_xgb,w_lstm,w_cnn
2018,AUC,0.5694682878672732,1.0,0.0,0.0
2018,ACC@0.50,0.7245591005079619,0.8,0.1,0.1
2018,ACC@0.60,0.725643513498088,0.4,0.4,0.2
2018,ACC@0.65,0.7253010672906798,0.3,0.4,0.3
2018,Prec@0.50,0.5271739130434783,0.8,0.1,0.1
2018,Prec@0.60,0.7037037037037037,0.7,0.1,0.2
2018,Prec@0.65,1.0,0.6,0.3,0.1
2018,Rec@0.50,0.37551695616211744,0.0,0.0,1.0
2018,Rec@0.60,0.27977667493796526,0.0,0.0,1.0
2018,Rec@0.65,0.23759305210918114,0.0,0.0,1.0
2018,F1@0.50,0.332843227347914,0.0,0.1,0.9
2018,F1@0.60,0.2890716803760282,0.0,0.0,1.0
2018,F1@0.65,0.2660030096075935,0.0,0.0,1.0
2019,AUC,0.5770948752324809,0.6,0.3,0.1
2019,ACC@0.50,0.7184854459004987,0.7,0.2,0.1
2019,ACC@0.60,0.716977849936217,0.8,0.2,0.0
2019,ACC@0.65,0.7158181607329236,0.8,0.0,0.2
2019,Prec@0.50,0.581573896353167,0.9,0.0,0.1
2019,Prec@0.60,0.7745098039215687,0.5,0.5,0.0
2019,Prec@0.65,0.9411764705882353,0.2,0.8,0.0
2019,Rec@0.50,0.6107070707070708,0.0,1.0,0.0
2019,Rec@0.60,0.23717171717171717,0.0,0.0,1.0
2019,Rec@0.65,0.18808080808080807,0.0,0.0,1.0
2019,F1@0.50,0.4121617015474811,0.0,1.0,0.0
2019,F1@0.60,0.2823133341349044,0.0,0.0,1.0
2019,F1@0.65,0.24708067940552017,0.0,0.0,1.0
2020,AUC,0.6093306105239464,0.9,0.0,0.1
2020,ACC@0.50,0.5655114789320813,0.4,0.0,0.6
2020,ACC@0.60,0.5621692595392512,0.1,0.1,0.8
2020,ACC@0.65,0.5605777264950463,0.0,0.3,0.7
2020,Prec@0.50,0.6496350364963503,0.8,0.2,0.0
2020,Prec@0.60,0.8064516129032258,1.0,0.0,0.0
2020,Prec@0.65,0.9,0.9,0.1,0.0
2020,Rec@0.50,0.4017610497237569,0.0,1.0,0.0
2020,Rec@0.60,0.256560773480663,0.0,0.0,1.0
2020,Rec@0.65,0.21106698895027623,0.0,0.0,1.0
2020,F1@0.50,0.4503580414166828,0.0,1.0,0.0
2020,F1@0.60,0.3495648082804046,0.0,0.0,1.0
2020,F1@0.65,0.30662151993980435,0.0,0.0,1.0
2021,AUC,0.5519704505753207,0.9,0.1,0.0
2021,ACC@0.50,0.67494407884073,0.7,0.3,0.0
2021,ACC@0.60,0.6754303497909034,0.5,0.5,0.0
2021,ACC@0.65,0.6751061691574546,0.4,0.6,0.0
2021,Prec@0.50,1.0,0.7,0.1,0.2
2021,Prec@0.60,0.7894736842105263,0.5,0.4,0.1
2021,Prec@0.65,0.7222222222222222,0.4,0.4,0.2
2021,Rec@0.50,0.40681342763223427,0.0,1.0,0.0
2021,Rec@0.60,0.26895109074609025,0.0,0.0,1.0
2021,Rec@0.65,0.21326825381014045,0.0,0.0,1.0
2021,F1@0.50,0.3793776126335346,0.0,1.0,0.0
2021,F1@0.60,0.3008356545961003,0.0,0.0,1.0
2021,F1@0.65,0.26258661924326976,0.0,0.0,1.0
2022,AUC,0.6534885211276108,1.0,0.0,0.0
2022,ACC@0.50,0.7365487430326471,0.8,0.2,0.0
2022,ACC@0.60,0.7272210214992606,0.6,0.4,0.0
2022,ACC@0.65,0.7250218026011451,0.6,0.4,0.0
2022,Prec@0.50,0.6565420560747663,1.0,0.0,0.0
2022,Prec@0.60,0.7869822485207101,0.9,0.0,0.1
2022,Prec@0.65,0.9264705882352942,0.8,0.1,0.1
2022,Rec@0.50,0.5854950427814749,0.0,0.5,0.5
2022,Rec@0.60,0.41708542713567837,0.0,0.0,1.0
2022,Rec@0.65,0.35882113269047944,0.0,1.0,0.0
2022,F1@0.50,0.4145808019441069,0.0,0.6,0.4
2022,F1@0.60,0.3738794820717131,0.0,0.9,0.1
2022,F1@0.65,0.35168053244592345,0.0,1.0,0.0
2023,AUC,0.5637608275278404,0.9,0.1,0.0
2023,ACC@0.50,0.696486122844895,1.0,0.0,0.0
2023,ACC@0.60,0.6955787102224725,0.5,0.4,0.1
2023,ACC@0.65,0.6947651678713351,0.5,0.5,0.0
2023,Prec@0.50,0.5543071161048689,1.0,0.0,0.0
2023,Prec@0.60,0.7454545454545455,0.9,0.0,0.1
2023,Prec@0.65,1.0,0.7,0.1,0.2
2023,Rec@0.50,0.3666087667313784,0.0,1.0,0.0
2023,Rec@0.60,0.17267804230101155,0.0,0.0,1.0
2023,Rec@0.65,0.12812915091447838,0.0,0.0,1.0
2023,F1@0.50,0.35968121898651695,0.0,1.0,0.0
2023,F1@0.60,0.22563417890520696,0.0,0.0,1.0
2023,F1@0.65,0.18396537812660457,0.0,0.0,1.0
2024,AUC,0.5419428834769928,1.0,0.0,0.0
2024,ACC@0.50,0.7511787783896627,1.0,0.0,0.0
2024,ACC@0.60,0.7675556995284887,1.0,0.0,0.0
2024,ACC@0.65,0.7699672461577224,0.9,0.0,0.1
2024,Prec@0.50,0.3542354235423542,1.0,0.0,0.0
2024,Prec@0.60,0.38573508005822416,0.8,0.0,0.2
2024,Prec@0.65,0.40476190476190477,0.9,0.0,0.1
2024,Rec@0.50,0.44587184709384303,0.0,0.2,0.8
2024,Rec@0.60,0.35469215102616325,0.0,0.0,1.0
2024,Rec@0.65,0.3144289519034937,0.0,0.0,1.0
2024,F1@0.50,0.3144403933267042,0.0,0.2,0.8
2024,F1@0.60,0.2895881299565106,0.0,0.0,1.0
2024,F1@0.65,0.27699951694154995,0.0,0.0,1.0
2025,AUC,0.5799916433766332,0.8,0.1,0.1
2025,ACC@0.50,0.679483600837404,0.8,0.1,0.1
2025,ACC@0.60,0.6755757152826238,0.4,0.4,0.2
2025,ACC@0.65,0.6751570132588974,0.4,0.5,0.1
2025,Prec@0.50,0.7278481012658228,1.0,0.0,0.0
2025,Prec@0.60,0.8679245283018868,0.8,0.0,0.2
2025,Prec@0.65,1.0,0.7,0.1,0.2
2025,Rec@0.50,0.4433891793832035,0.0,0.0,1.0
2025,Rec@0.60,0.29922100096040977,0.0,0.0,1.0
2025,Rec@0.65,0.23316615089104684,0.0,0.0,1.0
2025,F1@0.50,0.39825553532061725,0.0,0.0,1.0
2025,F1@0.60,0.3273597571653727,0.0,0.0,1.0
2025,F1@0.65,0.2845978508629111,0.0,0.0,1.0
